##hsa	Homo sapiens (human)
##Method: BLAST	Options: evalue <= 1e-05
##Summary:	54 succeed, 104 fail

#Query	Gene ID|Gene name|Hyperlink
NTX361043	hsa:5651|TMPRSS15, ENTK, PRSS7|http://www.genome.jp/dbget-bin/www_bget?hsa:5651
NTX365400	None
NTX366384	None
NTX371729	None
NTX372159	None
NTX372384	None
NTX373661	None
NTX374058	None
NTX374059	None
NTX374060	None
NTX374063	None
NTX374064	None
NTX374070	None
NTX378014	None
NTX384939	None
NTX384947	None
NTX385699	None
NTX407408	None
NTX413483	None
NTX416169	None
NTX416183	None
NTX423614	None
NTX428770	None
NTX430388	hsa:5110|PCMT1, PIMT|http://www.genome.jp/dbget-bin/www_bget?hsa:5110
NTX431293	hsa:7178|TPT1, HRF, TCTP, p02, p23|http://www.genome.jp/dbget-bin/www_bget?hsa:7178
NTX434966	None
NTX438454	hsa:140606|SELM, SEPM|http://www.genome.jp/dbget-bin/www_bget?hsa:140606
NTX444153	None
NTX462752	None
NTX465514	hsa:3856|KRT8, CARD2, CK-8, CK8, CYK8, K2C8, K8, KO|http://www.genome.jp/dbget-bin/www_bget?hsa:3856
NTX468692	hsa:10975|UQCR11, 0710008D09Rik, QCR10, UQCR|http://www.genome.jp/dbget-bin/www_bget?hsa:10975
NTX479826	None
NTX479827	None
NTX485684	None
NTX485692	None
NTX487637	hsa:5122|PCSK1, BMIQ12, NEC1, PC1, PC3, SPC3|http://www.genome.jp/dbget-bin/www_bget?hsa:5122
NTX487647	hsa:5122|PCSK1, BMIQ12, NEC1, PC1, PC3, SPC3|http://www.genome.jp/dbget-bin/www_bget?hsa:5122
NTX494486	hsa:170692|ADAMTS18, ADAMTS21, KNO2, MMCAT|http://www.genome.jp/dbget-bin/www_bget?hsa:170692
NTX496322	None
NTX496567	None
NTX496574	None
NTX512262	None
NTX519666	hsa:6208|RPS14, EMTB, S14|http://www.genome.jp/dbget-bin/www_bget?hsa:6208
NTX523065	hsa:5126|PCSK2, NEC_2, NEC-2, NEC2, PC2, SPC2|http://www.genome.jp/dbget-bin/www_bget?hsa:5126
NTX541125	hsa:59084|ENPP5, NPP-5|http://www.genome.jp/dbget-bin/www_bget?hsa:59084
NTX546099	hsa:5045|FURIN, FUR, PACE, PCSK3, SPC1|http://www.genome.jp/dbget-bin/www_bget?hsa:5045
NTX549633	None
NTX558144	hsa:4697|NDUFA4, CI-9k, CI-MLRQ, MLRQ|http://www.genome.jp/dbget-bin/www_bget?hsa:4697
NTX565257	None
NTX574605	None
NTX577282	hsa:3856|KRT8, CARD2, CK-8, CK8, CYK8, K2C8, K8, KO|http://www.genome.jp/dbget-bin/www_bget?hsa:3856
NTX581382	None
NTX583217	None
NTX584753	hsa:5651|TMPRSS15, ENTK, PRSS7|http://www.genome.jp/dbget-bin/www_bget?hsa:5651
NTX591828	None
NTX591829	None
NTX592223	None
NTX596227	None
NTX597930	None
NTX602037	None
NTX602038	None
NTX612360	None
NTX624266	None
NTX627879	None
NTX629813	hsa:23071|ERP44, PDIA10, TXNDC4|http://www.genome.jp/dbget-bin/www_bget?hsa:23071
NTX637329	None
NTX644816	hsa:50487|PLA2G3, GIII-SPLA2, SPLA2III, sPLA2-III|http://www.genome.jp/dbget-bin/www_bget?hsa:50487
NTX644817	hsa:50487|PLA2G3, GIII-SPLA2, SPLA2III, sPLA2-III|http://www.genome.jp/dbget-bin/www_bget?hsa:50487
NTX660903	None
NTX662347	None

--------------------

////
Query:              	NTX4281
Gene:               	hsa:55207	ARL8B, ARL10C, Gie1
Entrez Gene ID:      	55207
Disease:            	Disc degeneration (lumbar)	NHGRI GWAS Catalog	
GO:                 	nucleotide binding	Gene Ontology	GO:0000166
                    	lytic vacuole	Gene Ontology	GO:0000323
                    	nucleoside binding	Gene Ontology	GO:0001882
                    	purine nucleoside binding	Gene Ontology	GO:0001883
                    	catalytic activity	Gene Ontology	GO:0003824
                    	GTPase activity	Gene Ontology	GO:0003924
                    	binding	Gene Ontology	GO:0005488
                    	protein binding	Gene Ontology	GO:0005515
                    	GTP binding	Gene Ontology	GO:0005525
                    	extracellular region	Gene Ontology	GO:0005576
                    	intracellular	Gene Ontology	GO:0005622
                    	cell	Gene Ontology	GO:0005623
                    	cytoplasm	Gene Ontology	GO:0005737
                    	lysosome	Gene Ontology	GO:0005764
                    	lysosomal membrane	Gene Ontology	GO:0005765
                    	endosome	Gene Ontology	GO:0005768
                    	late endosome	Gene Ontology	GO:0005770
                    	vacuole	Gene Ontology	GO:0005773
                    	vacuolar membrane	Gene Ontology	GO:0005774
                    	spindle	Gene Ontology	GO:0005819
                    	cytoskeleton	Gene Ontology	GO:0005856
                    	cell cycle	Gene Ontology	GO:0007049
                    	chromosome segregation	Gene Ontology	GO:0007059
                    	cell communication	Gene Ontology	GO:0007154
                    	signal transduction	Gene Ontology	GO:0007165
                    	small GTPase mediated signal transduction	Gene Ontology	GO:0007264
                    	cytoskeletal protein binding	Gene Ontology	GO:0008092
                    	cellular process	Gene Ontology	GO:0009987
                    	endosome membrane	Gene Ontology	GO:0010008
                    	endomembrane system	Gene Ontology	GO:0012505
                    	microtubule cytoskeleton	Gene Ontology	GO:0015630
                    	tubulin binding	Gene Ontology	GO:0015631
                    	membrane	Gene Ontology	GO:0016020
                    	pyrophosphatase activity	Gene Ontology	GO:0016462
                    	hydrolase activity	Gene Ontology	GO:0016787
                    	hydrolase activity, acting on acid anhydrides	Gene Ontology	GO:0016817
                    	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	Gene Ontology	GO:0016818
                    	purine nucleotide binding	Gene Ontology	GO:0017076
                    	nucleoside-triphosphatase activity	Gene Ontology	GO:0017111
                    	guanyl nucleotide binding	Gene Ontology	GO:0019001
                    	GDP binding	Gene Ontology	GO:0019003
                    	signaling	Gene Ontology	GO:0023052
                    	midbody	Gene Ontology	GO:0030496
                    	organelle membrane	Gene Ontology	GO:0031090
                    	late endosome membrane	Gene Ontology	GO:0031902
                    	vesicle	Gene Ontology	GO:0031982
                    	membrane-bounded vesicle	Gene Ontology	GO:0031988
                    	ribonucleoside binding	Gene Ontology	GO:0032549
                    	purine ribonucleoside binding	Gene Ontology	GO:0032550
                    	ribonucleotide binding	Gene Ontology	GO:0032553
                    	purine ribonucleotide binding	Gene Ontology	GO:0032555
                    	guanyl ribonucleotide binding	Gene Ontology	GO:0032561
                    	intracellular signal transduction	Gene Ontology	GO:0035556
                    	purine ribonucleoside triphosphate binding	Gene Ontology	GO:0035639
                    	small molecule binding	Gene Ontology	GO:0036094
                    	alpha-tubulin binding	Gene Ontology	GO:0043014
                    	organelle	Gene Ontology	GO:0043226
                    	membrane-bounded organelle	Gene Ontology	GO:0043227
                    	non-membrane-bounded organelle	Gene Ontology	GO:0043228
                    	intracellular organelle	Gene Ontology	GO:0043229
                    	extracellular organelle	Gene Ontology	GO:0043230
                    	intracellular membrane-bounded organelle	Gene Ontology	GO:0043231
                    	intracellular non-membrane-bounded organelle	Gene Ontology	GO:0043232
                    	extracellular region part	Gene Ontology	GO:0044421
                    	organelle part	Gene Ontology	GO:0044422
                    	intracellular part	Gene Ontology	GO:0044424
                    	cytoskeletal part	Gene Ontology	GO:0044430
                    	vacuolar part	Gene Ontology	GO:0044437
                    	endosomal part	Gene Ontology	GO:0044440
                    	cytoplasmic part	Gene Ontology	GO:0044444
                    	intracellular organelle part	Gene Ontology	GO:0044446
                    	cell part	Gene Ontology	GO:0044464
                    	single-organism process	Gene Ontology	GO:0044699
                    	single organism signaling	Gene Ontology	GO:0044700
                    	single-organism cellular process	Gene Ontology	GO:0044763
                    	beta-tubulin binding	Gene Ontology	GO:0048487
                    	regulation of biological process	Gene Ontology	GO:0050789
                    	regulation of cellular process	Gene Ontology	GO:0050794
                    	response to stimulus	Gene Ontology	GO:0050896
                    	spindle midzone	Gene Ontology	GO:0051233
                    	cell division	Gene Ontology	GO:0051301
                    	cellular response to stimulus	Gene Ontology	GO:0051716
                    	biological regulation	Gene Ontology	GO:0065007
                    	extracellular exosome	Gene Ontology	GO:0070062
                    	organic cyclic compound binding	Gene Ontology	GO:0097159
                    	carbohydrate derivative binding	Gene Ontology	GO:0097367
                    	bounding membrane of organelle	Gene Ontology	GO:0098588
                    	whole membrane	Gene Ontology	GO:0098805
                    	lytic vacuole membrane	Gene Ontology	GO:0098852
                    	nucleoside phosphate binding	Gene Ontology	GO:1901265
                    	heterocyclic compound binding	Gene Ontology	GO:1901363
                    	extracellular vesicle	Gene Ontology	GO:1903561
GOslim:             	GTPase activity	Gene Ontology Slim	GO:0003924
                    	intracellular	Gene Ontology Slim	GO:0005622
                    	cell	Gene Ontology Slim	GO:0005623
                    	cytoplasm	Gene Ontology Slim	GO:0005737
                    	cell cycle	Gene Ontology Slim	GO:0007049
                    	chromosome segregation	Gene Ontology Slim	GO:0007059
                    	cell division	Gene Ontology Slim	GO:0051301
////
Query:              	NTX13418
Gene:               	hsa:2195	FAT1, CDHF7, CDHR8, FAT, ME5, hFat1
Entrez Gene ID:      	2195
Pathway:            	Wnt signaling pathway	PANTHER	P00057
                    	Cadherin signaling pathway	PANTHER	P00012
Disease:            	Obesity	NHGRI GWAS Catalog	
GO:                 	binding	Gene Ontology	GO:0005488
                    	calcium ion binding	Gene Ontology	GO:0005509
                    	protein binding	Gene Ontology	GO:0005515
                    	extracellular region	Gene Ontology	GO:0005576
                    	intracellular	Gene Ontology	GO:0005622
                    	cell	Gene Ontology	GO:0005623
                    	nucleus	Gene Ontology	GO:0005634
                    	cytoplasm	Gene Ontology	GO:0005737
                    	plasma membrane	Gene Ontology	GO:0005886
                    	integral component of plasma membrane	Gene Ontology	GO:0005887
                    	cell-cell junction	Gene Ontology	GO:0005911
                    	adherens junction	Gene Ontology	GO:0005912
                    	cell-substrate adherens junction	Gene Ontology	GO:0005924
                    	focal adhesion	Gene Ontology	GO:0005925
                    	movement of cell or subcellular component	Gene Ontology	GO:0006928
                    	organelle organization	Gene Ontology	GO:0006996
                    	cytoskeleton organization	Gene Ontology	GO:0007010
                    	actin filament organization	Gene Ontology	GO:0007015
                    	cell communication	Gene Ontology	GO:0007154
                    	cell adhesion	Gene Ontology	GO:0007155
                    	homophilic cell adhesion via plasma membrane adhesion molecules	Gene Ontology	GO:0007156
                    	establishment or maintenance of cell polarity	Gene Ontology	GO:0007163
                    	cell-cell signaling	Gene Ontology	GO:0007267
                    	anatomical structure morphogenesis	Gene Ontology	GO:0009653
                    	cellular process	Gene Ontology	GO:0009987
                    	membrane	Gene Ontology	GO:0016020
                    	integral component of membrane	Gene Ontology	GO:0016021
                    	cellular component organization	Gene Ontology	GO:0016043
                    	single organismal cell-cell adhesion	Gene Ontology	GO:0016337
                    	cell migration	Gene Ontology	GO:0016477
                    	biological adhesion	Gene Ontology	GO:0022610
                    	signaling	Gene Ontology	GO:0023052
                    	lamellipodium	Gene Ontology	GO:0030027
                    	actin filament-based process	Gene Ontology	GO:0030029
                    	actin cytoskeleton organization	Gene Ontology	GO:0030036
                    	cell junction	Gene Ontology	GO:0030054
                    	cell-substrate junction	Gene Ontology	GO:0030055
                    	filopodium	Gene Ontology	GO:0030175
                    	intrinsic component of membrane	Gene Ontology	GO:0031224
                    	intrinsic component of plasma membrane	Gene Ontology	GO:0031226
                    	cell leading edge	Gene Ontology	GO:0031252
                    	vesicle	Gene Ontology	GO:0031982
                    	membrane-bounded vesicle	Gene Ontology	GO:0031988
                    	developmental process	Gene Ontology	GO:0032502
                    	locomotion	Gene Ontology	GO:0040011
                    	cell projection	Gene Ontology	GO:0042995
                    	ion binding	Gene Ontology	GO:0043167
                    	cation binding	Gene Ontology	GO:0043169
                    	organelle	Gene Ontology	GO:0043226
                    	membrane-bounded organelle	Gene Ontology	GO:0043227
                    	intracellular organelle	Gene Ontology	GO:0043229
                    	extracellular organelle	Gene Ontology	GO:0043230
                    	intracellular membrane-bounded organelle	Gene Ontology	GO:0043231
                    	extracellular region part	Gene Ontology	GO:0044421
                    	intracellular part	Gene Ontology	GO:0044424
                    	membrane part	Gene Ontology	GO:0044425
                    	cytoplasmic part	Gene Ontology	GO:0044444
                    	plasma membrane part	Gene Ontology	GO:0044459
                    	cell part	Gene Ontology	GO:0044464
                    	single-organism process	Gene Ontology	GO:0044699
                    	single organism signaling	Gene Ontology	GO:0044700
                    	single-organism cellular process	Gene Ontology	GO:0044763
                    	metal ion binding	Gene Ontology	GO:0046872
                    	perinuclear region of cytoplasm	Gene Ontology	GO:0048471
                    	anatomical structure development	Gene Ontology	GO:0048856
                    	cell motility	Gene Ontology	GO:0048870
                    	localization	Gene Ontology	GO:0051179
                    	localization of cell	Gene Ontology	GO:0051674
                    	extracellular exosome	Gene Ontology	GO:0070062
                    	anchoring junction	Gene Ontology	GO:0070161
                    	cellular component organization or biogenesis	Gene Ontology	GO:0071840
                    	cell periphery	Gene Ontology	GO:0071944
                    	single organism cell adhesion	Gene Ontology	GO:0098602
                    	cell-cell adhesion	Gene Ontology	GO:0098609
                    	cell-cell adhesion via plasma-membrane adhesion molecules	Gene Ontology	GO:0098742
                    	actin-based cell projection	Gene Ontology	GO:0098858
                    	single-organism organelle organization	Gene Ontology	GO:1902589
                    	extracellular vesicle	Gene Ontology	GO:1903561
GOslim:             	intracellular	Gene Ontology Slim	GO:0005622
                    	cell	Gene Ontology Slim	GO:0005623
                    	nucleus	Gene Ontology Slim	GO:0005634
                    	plasma membrane	Gene Ontology Slim	GO:0005886
                    	cell adhesion	Gene Ontology Slim	GO:0007155
                    	cell-cell signaling	Gene Ontology Slim	GO:0007267
                    	organelle	Gene Ontology Slim	GO:0043226
////
Query:              	NTX14137
////
Query:              	NTX24145
Gene:               	hsa:70	ACTC1, ACTC, ASD5, CMD1R, CMH11, LVNC4
Entrez Gene ID:      	70
Pathway:            	Inflammation mediated by chemokine and cytokine signaling pathway	PANTHER	P00031
                    	Nicotinic acetylcholine receptor signaling pathway	PANTHER	P00044
                    	Wnt signaling pathway	PANTHER	P00057
                    	Huntington disease	PANTHER	P00029
                    	Alzheimer disease-presenilin pathway	PANTHER	P00004
                    	Cytoskeletal regulation by Rho GTPase	PANTHER	P00016
                    	Dilated cardiomyopathy	KEGG PATHWAY	hsa05414
                    	Adrenergic signaling in cardiomyocytes	KEGG PATHWAY	hsa04261
                    	Cadherin signaling pathway	PANTHER	P00012
                    	Hypertrophic cardiomyopathy (HCM)	KEGG PATHWAY	hsa05410
                    	Cardiac muscle contraction	KEGG PATHWAY	hsa04260
                    	Muscle contraction	Reactome	R-HSA-397014
                    	Striated Muscle Contraction	Reactome	R-HSA-390522
Disease:            	Cardiomyopathy, dilated, 1R	OMIM	613424
                    	Refractive error	NHGRI GWAS Catalog	
                    	Cardiovascular diseases	KEGG DISEASE	
                    	Cardiac diseases	KEGG DISEASE	
                    	Hypertrophic cardiomyopathy (HCM)	KEGG DISEASE	H00292
                    	Dilated cardiomyopathy (DCM)	KEGG DISEASE	H00294
                    	Restrictive cardiomyopathy (RCM)	KEGG DISEASE	H01219
                    	Left ventricular noncompaction (LVNC)	KEGG DISEASE	H01216
                    	Atrial septal defect	KEGG DISEASE	H00546
                    	Prostate cancer (gene x gene interaction)	NHGRI GWAS Catalog	
                    	Axial length	NHGRI GWAS Catalog	
                    	Cardiomyopathy, hypertrophic, 11	OMIM	612098
                    	Atrial septal defect 5	OMIM	612794
GO:                 	nucleotide binding	Gene Ontology	GO:0000166
                    	nucleoside binding	Gene Ontology	GO:0001882
                    	purine nucleoside binding	Gene Ontology	GO:0001883
                    	heart morphogenesis	Gene Ontology	GO:0003007
                    	system process	Gene Ontology	GO:0003008
                    	muscle system process	Gene Ontology	GO:0003012
                    	circulatory system process	Gene Ontology	GO:0003013
                    	heart process	Gene Ontology	GO:0003015
                    	catalytic activity	Gene Ontology	GO:0003824
                    	binding	Gene Ontology	GO:0005488
                    	protein binding	Gene Ontology	GO:0005515
                    	ATP binding	Gene Ontology	GO:0005524
                    	extracellular region	Gene Ontology	GO:0005576
                    	extracellular space	Gene Ontology	GO:0005615
                    	intracellular	Gene Ontology	GO:0005622
                    	cell	Gene Ontology	GO:0005623
                    	cytoplasm	Gene Ontology	GO:0005737
                    	cytosol	Gene Ontology	GO:0005829
                    	cytoskeleton	Gene Ontology	GO:0005856
                    	actin filament	Gene Ontology	GO:0005884
                    	adherens junction	Gene Ontology	GO:0005912
                    	cell-substrate adherens junction	Gene Ontology	GO:0005924
                    	focal adhesion	Gene Ontology	GO:0005925
                    	apoptotic process	Gene Ontology	GO:0006915
                    	movement of cell or subcellular component	Gene Ontology	GO:0006928
                    	muscle contraction	Gene Ontology	GO:0006936
                    	striated muscle contraction	Gene Ontology	GO:0006941
                    	organelle organization	Gene Ontology	GO:0006996
                    	cytoskeleton organization	Gene Ontology	GO:0007010
                    	actin filament organization	Gene Ontology	GO:0007015
                    	multicellular organism development	Gene Ontology	GO:0007275
                    	heart development	Gene Ontology	GO:0007507
                    	muscle organ development	Gene Ontology	GO:0007517
                    	blood circulation	Gene Ontology	GO:0008015
                    	cytoskeletal protein binding	Gene Ontology	GO:0008092
                    	metabolic process	Gene Ontology	GO:0008152
                    	cell death	Gene Ontology	GO:0008219
                    	anatomical structure morphogenesis	Gene Ontology	GO:0009653
                    	organ morphogenesis	Gene Ontology	GO:0009887
                    	tissue development	Gene Ontology	GO:0009888
                    	positive regulation of metabolic process	Gene Ontology	GO:0009893
                    	cellular process	Gene Ontology	GO:0009987
                    	response to organic substance	Gene Ontology	GO:0010033
                    	gene expression	Gene Ontology	GO:0010467
                    	regulation of gene expression	Gene Ontology	GO:0010468
                    	positive regulation of macromolecule metabolic process	Gene Ontology	GO:0010604
                    	positive regulation of gene expression	Gene Ontology	GO:0010628
                    	cellular component assembly involved in morphogenesis	Gene Ontology	GO:0010927
                    	regulation of cell death	Gene Ontology	GO:0010941
                    	programmed cell death	Gene Ontology	GO:0012501
                    	striated muscle tissue development	Gene Ontology	GO:0014706
                    	skeletal myofibril assembly	Gene Ontology	GO:0014866
                    	actin cytoskeleton	Gene Ontology	GO:0015629
                    	membrane	Gene Ontology	GO:0016020
                    	cellular component organization	Gene Ontology	GO:0016043
                    	pyrophosphatase activity	Gene Ontology	GO:0016462
                    	hydrolase activity	Gene Ontology	GO:0016787
                    	hydrolase activity, acting on acid anhydrides	Gene Ontology	GO:0016817
                    	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	Gene Ontology	GO:0016818
                    	ATPase activity	Gene Ontology	GO:0016887
                    	myosin binding	Gene Ontology	GO:0017022
                    	purine nucleotide binding	Gene Ontology	GO:0017076
                    	nucleoside-triphosphatase activity	Gene Ontology	GO:0017111
                    	regulation of metabolic process	Gene Ontology	GO:0019222
                    	cellular component assembly	Gene Ontology	GO:0022607
                    	myofibril	Gene Ontology	GO:0030016
                    	sarcomere	Gene Ontology	GO:0030017
                    	lamellipodium	Gene Ontology	GO:0030027
                    	actin filament-based process	Gene Ontology	GO:0030029
                    	actin cytoskeleton organization	Gene Ontology	GO:0030036
                    	actin filament-based movement	Gene Ontology	GO:0030048
                    	muscle filament sliding	Gene Ontology	GO:0030049
                    	cell junction	Gene Ontology	GO:0030054
                    	cell-substrate junction	Gene Ontology	GO:0030055
                    	cell differentiation	Gene Ontology	GO:0030154
                    	filopodium	Gene Ontology	GO:0030175
                    	myofibril assembly	Gene Ontology	GO:0030239
                    	skeletal muscle thin filament assembly	Gene Ontology	GO:0030240
                    	adenyl nucleotide binding	Gene Ontology	GO:0030554
                    	actomyosin structure organization	Gene Ontology	GO:0031032
                    	cell leading edge	Gene Ontology	GO:0031252
                    	I band	Gene Ontology	GO:0031674
                    	vesicle	Gene Ontology	GO:0031982
                    	membrane-bounded vesicle	Gene Ontology	GO:0031988
                    	multicellular organismal process	Gene Ontology	GO:0032501
                    	developmental process	Gene Ontology	GO:0032502
                    	ribonucleoside binding	Gene Ontology	GO:0032549
                    	purine ribonucleoside binding	Gene Ontology	GO:0032550
                    	ribonucleotide binding	Gene Ontology	GO:0032553
                    	purine ribonucleotide binding	Gene Ontology	GO:0032555
                    	adenyl ribonucleotide binding	Gene Ontology	GO:0032559
                    	cellular component morphogenesis	Gene Ontology	GO:0032989
                    	actin-myosin filament sliding	Gene Ontology	GO:0033275
                    	cardiocyte differentiation	Gene Ontology	GO:0035051
                    	purine ribonucleoside triphosphate binding	Gene Ontology	GO:0035639
                    	small molecule binding	Gene Ontology	GO:0036094
                    	response to chemical	Gene Ontology	GO:0042221
                    	response to drug	Gene Ontology	GO:0042493
                    	actomyosin	Gene Ontology	GO:0042641
                    	actomyosin, actin portion	Gene Ontology	GO:0042643
                    	muscle cell differentiation	Gene Ontology	GO:0042692
                    	regulation of apoptotic process	Gene Ontology	GO:0042981
                    	cell projection	Gene Ontology	GO:0042995
                    	negative regulation of apoptotic process	Gene Ontology	GO:0043066
                    	regulation of programmed cell death	Gene Ontology	GO:0043067
                    	negative regulation of programmed cell death	Gene Ontology	GO:0043069
                    	macromolecule metabolic process	Gene Ontology	GO:0043170
                    	organelle	Gene Ontology	GO:0043226
                    	membrane-bounded organelle	Gene Ontology	GO:0043227
                    	non-membrane-bounded organelle	Gene Ontology	GO:0043228
                    	intracellular organelle	Gene Ontology	GO:0043229
                    	extracellular organelle	Gene Ontology	GO:0043230
                    	intracellular non-membrane-bounded organelle	Gene Ontology	GO:0043232
                    	contractile fiber	Gene Ontology	GO:0043292
                    	cellular component biogenesis	Gene Ontology	GO:0044085
                    	cell body	Gene Ontology	GO:0044297
                    	extracellular region part	Gene Ontology	GO:0044421
                    	organelle part	Gene Ontology	GO:0044422
                    	intracellular part	Gene Ontology	GO:0044424
                    	cytoskeletal part	Gene Ontology	GO:0044430
                    	cytoplasmic part	Gene Ontology	GO:0044444
